id,nfo_type,quantity,entry_price,exit_price,profit,placed_at,exited_at,strike,option_type,strategy_id,strategy_name,symbol
9668,option,-1200,18.25,16.65,-1920.0000000000018,2021-11-12 05:20:06.349717+00:00,2021-11-12 08:15:05.526531+00:00,740,pe,16,AxisBank Pyramiding_10_atm,AXISBANK
8236,option,25,453.8,457.45,91.24999999999943,2021-11-08 07:50:05.054504+00:00,2021-11-09 03:55:18.764536+00:00,39200,ce,1,BankNifty Pyramiding_1,BANKNIFTY
8212,option,25,496.05,529.0,823.7499999999998,2021-11-08 07:30:05.003147+00:00,2021-11-09 04:00:01.540841+00:00,39100,ce,3,BankNifty Pyramiding_10,BANKNIFTY
9677,option,-1200,18.5,16.65,-2220.000000000002,2021-11-12 05:25:05.597024+00:00,2021-11-12 08:15:05.526531+00:00,740,pe,16,AxisBank Pyramiding_10_atm,AXISBANK
11648,option,-25,505.0,464.15,-1021.2500000000006,2021-11-22 04:15:01.944298+00:00,2021-11-22 04:30:02.439166+00:00,38000,pe,1,BankNifty Pyramiding_1,BANKNIFTY
11656,option,-25,458.8,464.15,133.74999999999915,2021-11-22 04:20:01.394442+00:00,2021-11-22 04:30:02.439166+00:00,38000,pe,1,BankNifty Pyramiding_1,BANKNIFTY
14772,option,1200,14.1,12.5,-1919.9999999999995,2021-12-01 09:45:00.363180+00:00,2021-12-02 04:25:03.916651+00:00,700,ce,6,AxisBank Pyramiding_10_vol,AXISBANK
6812,option,25,488.05,,7323.75,2021-11-01 06:05:02.549378+00:00,2021-11-01 08:24:55.892537+00:00,39100,ce,3,BankNifty Pyramiding_10,BANKNIFTY
6816,option,25,486.6,,7359.999999999999,2021-11-01 06:10:00.833781+00:00,2021-11-01 08:24:55.892537+00:00,39100,ce,3,BankNifty Pyramiding_10,BANKNIFTY
6831,option,25,453.15,,6130.000000000001,2021-11-01 06:20:01.245008+00:00,2021-11-01 08:24:55.892537+00:00,39200,ce,3,BankNifty Pyramiding_10,BANKNIFTY
11675,option,-250,32.0,33.55,387.4999999999993,2021-11-22 04:30:03.481599+00:00,2021-11-22 06:00:09.898317+00:00,3500,pe,13,Baj-Auto Pyramiding[10]_vol,BAJAJ-AUTO
6818,option,100,175.0,,11805.000000000002,2021-11-01 06:10:02.604549+00:00,2021-11-01 08:25:03.776034+00:00,17700,ce,4,Nifty50 Pyramiding_10,NIFTY
6823,option,100,180.1,,11295.000000000002,2021-11-01 06:15:01.815164+00:00,2021-11-01 08:25:03.776034+00:00,17700,ce,4,Nifty50 Pyramiding_10,NIFTY
14778,option,1200,14.0,12.5,-1800.0,2021-12-01 09:45:03.378038+00:00,2021-12-02 04:25:03.916651+00:00,700,ce,6,AxisBank Pyramiding_10_vol,AXISBANK
