Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
63,Exit Long,short,2022-01-13 13:15,18245.70,1,-1238.61,-0.14,-896.11,-0.01,685.00,0.07,1517.50,0.17
64,Entry Long,long,2022-01-13 12:00,18272.00,1,-1336.11,-0.15,-2212.22,-0.01,587.50,0.06,1615.00,0.18
64,Exit Long,short,2022-01-13 13:15,18245.70,1,-1336.11,-0.15,-2212.22,-0.01,587.50,0.06,1615.00,0.18
65,Entry Long,long,2022-01-13 12:05,18275.00,1,-1486.11,-0.16,-3678.33,-0.01,437.50,0.05,1765.00,0.19
65,Exit Long,short,2022-01-13 13:15,18245.70,1,-1486.11,-0.16,-3678.33,-0.01,437.50,0.05,1765.00,0.19
66,Entry Long,long,2022-01-13 12:10,18270.35,1,-1253.61,-0.14,-4911.94,-0.01,670.00,0.07,1532.50,0.17
66,Exit Long,short,2022-01-13 13:15,18245.70,1,-1253.61,-0.14,-4911.94,-0.01,670.00,0.07,1532.50,0.17
67,Entry Long,long,2022-01-13 12:15,18277.50,1,-1611.11,-0.18,-6503.06,-0.02,312.50,0.03,1890.00,0.21
67,Exit Long,short,2022-01-13 13:15,18245.70,1,-1611.11,-0.18,-6503.06,-0.02,312.50,0.03,1890.00,0.21
68,Entry Long,long,2022-01-13 12:20,18274.00,1,-1436.11,-0.16,-7919.17,-0.01,127.50,0.01,1715.00,0.19
68,Exit Long,short,2022-01-13 13:15,18245.70,1,-1436.11,-0.16,-7919.17,-0.01,127.50,0.01,1715.00,0.19
69,Entry Long,long,2022-01-13 12:25,18266.00,1,-1036.11,-0.11,-8935.28,-0.01,302.50,0.03,1315.00,0.14
69,Exit Long,short,2022-01-13 13:15,18245.70,1,-1036.11,-0.11,-8935.28,-0.01,302.50,0.03,1315.00,0.14
70,Entry Long,long,2022-01-13 12:30,18262.20,1,-846.11,-0.09,-9761.39,-0.01,182.50,0.02,1125.00,0.12
70,Exit Long,short,2022-01-13 13:15,18245.70,1,-846.11,-0.09,-9761.39,-0.01,182.50,0.02,1125.00,0.12
71,Entry Short,short,2022-01-13 13:15,18245.70,1,-1106.94,-0.12,-10948.33,-0.01,1451.39,0.16,1136.11,0.12
71,Exit Short,long,2022-01-13 13:55,18267.75,1,-1106.94,-0.12,-10948.33,-0.01,1451.39,0.16,1136.11,0.12
72,Entry Short,short,2022-01-13 13:20,18234.00,1,-1710.83,-0.19,-12639.17,-0.02,847.50,0.09,1740.00,0.19
72,Exit Short,long,2022-01-13 13:55,18267.75,1,-1710.83,-0.19,-12639.17,-0.02,847.50,0.09,1740.00,0.19
73,Entry Short,short,2022-01-13 13:25,18219.00,1,-2460.83,-0.27,-15080.00,-0.02,42.50,0,2490.00,0.27
73,Exit Short,long,2022-01-13 13:55,18267.75,1,-2460.83,-0.27,-15080.00,-0.02,42.50,0,2490.00,0.27
74,Entry Short,short,2022-01-13 13:30,18229.10,1,-1955.83,-0.21,-17015.83,-0.02,85.00,0.01,1985.00,0.22
74,Exit Short,long,2022-01-13 13:55,18267.75,1,-1955.83,-0.21,-17015.83,-0.02,85.00,0.01,1985.00,0.22
75,Entry Short,short,2022-01-13 13:35,18245.10,1,-1155.83,-0.13,-18151.67,-0.01,0,0,1185.00,0.13
75,Exit Short,long,2022-01-13 13:55,18267.75,1,-1155.83,-0.13,-18151.67,-0.01,0,0,1185.00,0.13
76,Entry Long,long,2022-01-13 13:55,18267.75,1,-3532.50,-0.39,-21884.17,-0.04,1506.67,0.16,6080.83,0.67
76,Exit Long,short,2022-01-14 09:25,18197.20,1,-3532.50,-0.39,-21884.17,-0.04,1506.67,0.16,6080.83,0.67
77,Entry Long,long,2022-01-13 14:00,18270.35,1,-3679.17,-0.4,-25543.33,-0.04,1360.00,0.15,6227.50,0.68
77,Exit Long,short,2022-01-14 09:25,18197.20,1,-3679.17,-0.4,-25543.33,-0.04,1360.00,0.15,6227.50,0.68
78,Entry Long,long,2022-01-13 14:05,18273.80,1,-3851.67,-0.42,-29375.00,-0.04,1187.50,0.13,6400.00,0.7
78,Exit Long,short,2022-01-14 09:25,18197.20,1,-3851.67,-0.42,-29375.00,-0.04,1187.50,0.13,6400.00,0.7
79,Entry Long,long,2022-01-13 14:10,18275.95,1,-3959.17,-0.43,-33314.17,-0.04,1080.00,0.12,6507.50,0.71
79,Exit Long,short,2022-01-14 09:25,18197.20,1,-3959.17,-0.43,-33314.17,-0.04,1080.00,0.12,6507.50,0.71
80,Entry Long,long,2022-01-13 14:15,18256.05,1,-2964.17,-0.32,-36258.33,-0.03,2075.00,0.23,5512.50,0.6
80,Exit Long,short,2022-01-14 09:25,18197.20,1,-2964.17,-0.32,-36258.33,-0.03,2075.00,0.23,5512.50,0.6
81,Entry Long,long,2022-01-13 14:20,18258.95,1,-3109.17,-0.34,-39347.50,-0.03,1930.00,0.21,5657.50,0.62
81,Exit Long,short,2022-01-14 09:25,18197.20,1,-3109.17,-0.34,-39347.50,-0.03,1930.00,0.21,5657.50,0.62
82,Entry Long,long,2022-01-13 14:25,18253.10,1,-2816.67,-0.31,-42144.17,-0.03,2222.50,0.24,5365.00,0.59
82,Exit Long,short,2022-01-14 09:25,18197.20,1,-2816.67,-0.31,-42144.17,-0.03,2222.50,0.24,5365.00,0.59
83,Entry Long,long,2022-01-13 15:15,18293.80,1,-4851.67,-0.53,-46975.83,-0.05,187.50,0.02,7400.00,0.81
83,Exit Long,short,2022-01-14 09:25,18197.20,1,-4851.67,-0.53,-46975.83,-0.05,187.50,0.02,7400.00,0.81
84,Entry Long,long,2022-01-13 15:20,18290.00,1,-4661.67,-0.51,-51617.50,-0.05,315.00,0.03,7210.00,0.79
84,Exit Long,short,2022-01-14 09:25,18197.20,1,-4661.67,-0.51,-51617.50,-0.05,315.00,0.03,7210.00,0.79
85,Entry Long,long,2022-01-13 15:25,18294.00,1,-4861.67,-0.53,-56459.17,-0.05,77.50,0.01,7410.00,0.81
85,Exit Long,short,2022-01-14 09:25,18197.20,1,-4861.67,-0.53,-56459.17,-0.05,77.50,0.01,7410.00,0.81
86,Entry Long,long,2022-01-14 09:15,18220.60,1,-1191.67,-0.13,-57630.83,-0.01,697.50,0.08,3740.00,0.41
